date,capital,position,price,total_value,daily_return,cummax,drawdown
2022-04-07,111941.022392,0,4.21,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-08,111941.022392,0,4.23,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-11,111941.022392,0,4.1,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-12,111941.022392,0,4.17,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-13,111941.022392,0,4.14,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-14,111941.022392,0,4.18,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-15,111941.022392,0,4.18,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-18,111941.022392,0,4.16,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-19,111941.022392,0,4.13,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-20,111941.022392,0,4.06,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-21,111941.022392,0,4.0,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-22,111941.022392,0,4.01,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-25,111941.022392,0,3.81,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-26,111941.022392,0,3.78,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-27,111941.022392,0,3.89,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-28,111941.022392,0,3.92,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-29,111941.022392,0,4.02,111941.022392,0.0,130968.865084,-14.528523767687872
2022-05-05,111941.022392,0,4.0,111941.022392,0.0,130968.865084,-14.528523767687872
2022-05-06,111941.022392,0,3.9,111941.022392,0.0,130968.865084,-14.528523767687872
2022-05-09,111941.022392,0,3.87,111941.022392,0.0,130968.865084,-14.528523767687872
2022-05-10,111941.022392,0,3.92,111941.022392,0.0,130968.865084,-14.528523767687872
2022-05-11,111941.022392,0,3.97,111941.022392,0.0,130968.865084,-14.528523767687872
2022-05-12,111941.022392,0,3.95,111941.022392,0.0,130968.865084,-14.528523767687872
2022-05-13,111941.022392,0,3.98,111941.022392,0.0,130968.865084,-14.528523767687872
2022-05-16,111941.022392,0,3.95,111941.022392,0.0,130968.865084,-14.528523767687872
2022-05-17,111941.022392,0,4.0,111941.022392,0.0,130968.865084,-14.528523767687872
2022-05-18,111941.022392,0,3.99,111941.022392,0.0,130968.865084,-14.528523767687872
2022-05-19,111941.022392,0,4.0,111941.022392,0.0,130968.865084,-14.528523767687872
2022-05-20,111941.022392,0,4.08,111941.022392,0.0,130968.865084,-14.528523767687872
2022-05-23,111941.022392,0,4.05,111941.022392,0.0,130968.865084,-14.528523767687872
2022-05-24,111941.022392,0,3.97,111941.022392,0.0,130968.865084,-14.528523767687872
2022-05-25,111941.022392,0,3.98,111941.022392,0.0,130968.865084,-14.528523767687872
2022-05-26,111941.022392,0,3.99,111941.022392,0.0,130968.865084,-14.528523767687872
2022-05-27,-43.753608,27985,4.0,111896.246392,-0.0003999963466762013,130968.865084,-14.562712045925819
2022-05-30,-43.753608,27985,4.03,112735.796392,0.007502932645826688,130968.865084,-13.921681828964303
2022-05-31,-43.753608,27985,4.09,114414.896392,0.014894115744403802,130968.865084,-12.639621395041278
2022-06-01,-43.753608,27985,4.08,114135.046392,-0.002445922767269626,130968.865084,-12.853298134028442
2022-06-02,-43.753608,27985,4.09,114414.896392,0.0024519199741579456,130968.865084,-12.639621395041278
2022-06-06,-43.753608,27985,4.18,116933.546392,0.022013304905427633,130968.865084,-10.716530744156723
2022-06-07,-43.753608,27985,4.18,116933.546392,0.0,130968.865084,-10.716530744156723
2022-06-08,-43.753608,27985,4.22,118052.946392,0.009572958612299232,130968.865084,-9.86182378820804
2022-06-09,-43.753608,27985,4.19,117213.396392,-0.00711163952835403,130968.865084,-10.502854005169558
2022-06-10,-43.753608,27985,4.25,118892.496392,0.014325154390924189,130968.865084,-9.22079357124652
2022-06-13,-43.753608,27985,4.2,117493.246392,-0.011769035409825546,130968.865084,-10.289177266182383
2022-06-14,-43.753608,27985,4.24,118612.646392,0.009527356119391595,130968.865084,-9.4344703102337
2022-06-15,-43.753608,27985,4.29,120011.896392,0.011796802807819029,130968.865084,-8.366086615297839
2022-06-16,-43.753608,27985,4.26,119172.346392,-0.006995556484314935,130968.865084,-9.007116832259346
2022-06-17,-43.753608,27985,4.32,120851.446392,0.014089678107678028,130968.865084,-7.725056398336322
2022-06-20,-43.753608,27985,4.34,121411.146392,0.00463130576182369,130968.865084,-7.29770292036198
2022-06-21,-43.753608,27985,4.34,121411.146392,0.0,130968.865084,-7.29770292036198
2022-06-22,-43.753608,27985,4.29,120011.896392,-0.011524889119177262,130968.865084,-8.366086615297839
2022-06-23,-43.753608,27985,4.37,122250.696392,0.018654817291506864,130968.865084,-6.656672703400461
2022-06-24,-43.753608,27985,4.41,123370.096392,0.00915659405661473,130968.865084,-5.801965747451768
2022-06-27,-43.753608,27985,4.46,124769.346392,0.011341889492847423,130968.865084,-4.733582052515908
2022-06-28,-43.753608,27985,4.51,126168.596392,0.011214693676472764,130968.865084,-3.6651983575800484
2022-06-29,-43.753608,27985,4.46,124769.346392,-0.011090319144492988,130968.865084,-4.733582052515908
2022-06-30,-43.753608,27985,4.51,126168.596392,0.011214693676472764,130968.865084,-3.6651983575800484
2022-07-01,-43.753608,27985,4.49,125608.896392,-0.0044361276577972175,130968.865084,-4.092551835554401
2022-07-04,-43.753608,27985,4.52,126448.446392,0.006683841862442197,130968.865084,-3.4515216185928836
2022-07-05,-43.753608,27985,4.51,126168.596392,-0.0022131549100448122,130968.865084,-3.6651983575800484
2022-07-06,-43.753608,27985,4.45,124489.496392,-0.013308382973391542,130968.865084,-4.947258791503084
2022-07-07,-43.753608,27985,4.47,125049.196392,0.004495961637097423,130968.865084,-4.519905313528743
2022-07-08,-43.753608,27985,4.46,124769.346392,-0.0022379192195903785,130968.865084,-4.733582052515908
2022-07-11,-43.753608,27985,4.39,122810.396392,-0.015700571147061915,130968.865084,-6.22931922542612
2022-07-12,-43.753608,27985,4.35,121690.996392,-0.009114863504120385,130968.865084,-7.084026181374803
2022-07-13,-43.753608,27985,4.36,121970.846392,0.002299677119073973,130968.865084,-6.870349442387627
2022-07-14,-43.753608,27985,4.36,121970.846392,0.0,130968.865084,-6.870349442387627
